10855,the,インクルード
7116,of,の
5013,to,に
4218,and,そして
4115,in,に
3960,a,A
2538,is,あります
2531,that,それ
1538,as,なので
1405,are,あります
1289,be,されます
1280,for,にとって
1132,it,それ
1119,on,オン
1055,this,この
986,with,とともに
945,not,ではありません
928,by,沿って
908,they,彼ら
811,their,彼らの
804,or,若しくは
787,have,持ってる
786,we,我々
783,more,もっと
745,but,だが
745,an,AN
709,which,これ
664,from,から
591,at,に
576,than,より
570,can,できる
567,has,あり
472,people,人
468,s,S
448,human,人間
447,was,ました
444,there,そこ
441,one,1
430,if,もし
416,such,そのような
397,what,何
393,when,いつ
393,some,いくつか
386,these,これら
381,only,のみ
380,other,他の
375,about,約
346,its,それの
341,may,五月
336,so,そう
324,be,されます
320,would,でしょう
320,all,すべて
315,were,ました
312,our,私達の
309,social,ソーシャル
301,no,番号
299,most,最も
299,a,A
292,who,WHO
287,because,なぜなら
286,will,意志
285,do,行う
284,world,世界
270,he,彼
269,between,の間に
264,been,き
260,b,B
258,rights,権利
258,even,さえ
250,new,新着
246,how,どうやって
245,had,持っていました
244,also,さらに
243,like,お気に入り
238,you,君は
235,to,に
233,his,彼の
230,out,でる
229,much,はるかに
227,many,たくさんの
227,international,インターナショナル
218,that,それ
215,cultural,文化的
207,make,メイク
205,could,たぶん......だろう
203,of,の
202,should,SHOULD
197,those,それら
197,might,かもしれません
195,less,もっと少なく
192,however,しかしながら
189,does,し
188,over,オーバー
183,use,使用する
181,theory,理論
178,scientific,科学的
177,into,に
176,just,ただ
174,often,しばしば
174,first,最初
171,must,必見
170,up,アップ
170,her,彼女の
165,change,変化する
164,them,それら
162,according,従っ
161,i,私
161,after,後に
154,same,同じ
153,women,女子
150,own,自分の
150,any,どれか
149,being,であること
148,rules,ルール
148,do,行う
146,following,以下
142,while,同時に
142,very,非常に
142,made,製
141,way,仕方
140,power,パワー
138,s,S
138,now,今
138,common,一般
135,good,良い
134,work,作業
134,political,政治的
134,means,手段
134,each,各
133,where,どこ
131,then,それから
130,world,世界
129,science,理科
129,need,必要
129,different,異なります
128,states,状態
128,example,例
125,become,なります
124,ways,方法
123,think,考えます
122,both,どちらも
121,well,上手
121,time,時間
121,men,男性
120,important,重要
120,cultures,文化
120,culture,文化
119,used,中古
118,through,使って
118,language,言語
117,likely,恐らく
115,take,取る
115,organizations,団体
111,with,とともに
111,individual,個人
110,sense,感覚
110,moral,道徳の
110,male,男性
109,value,値
109,public,公衆
108,t,トン
108,on,オン
107,two,二
107,time,時間
107,right,正しい
107,rather,かなり
107,cannot,できません
104,order,注文
104,global,グローバル
104,did,した
104,based,ベース
104,article,論文
103,whether,かどうか
102,local,地元
101,number,数
101,it,それ
101,every,すべての
100,research,研究
97,work,作業
97,western,西洋の
97,us,我ら
97,great,すごい
97,for,にとって
96,percent,パーセント
95,since,から
95,she,彼女
95,policy,ポリシー
95,case,場合
94,point,ポイント
94,economic,経済の
93,reason,理由
92,see,見る
92,paragraph,段落
92,come,来ます
91,in,に
91,deal,対処
90,without,無し
90,strategies,戦略
90,so,そう
90,part,部
90,modern,近代的
90,best,ベスト
89,approach,アプローチ
88,them,それら
88,people,人
87,within,以内に
87,society,社会
87,author,著者
86,problems,問題
85,similar,同様の
85,among,間で
84,long,長いです
84,intelligence,インテリジェンス
82,terms,条項
82,shift,シフト
82,nature,自然
82,little,少し
81,state,状態
81,find,見つけます
81,better,よりよいです
81,before,前
80,self,自己
80,individuals,個人
79,year,年
79,say,いう
79,community,コミュニティ
78,united,ユナイテッド
78,males,男性
78,knowledge,知識
77,possible,可能
77,museums,博物館
77,law,法律
76,female,女性
76,fact,事実
76,change,変化する
76,another,別の
75,way,仕方
75,under,下
75,set,セットする
75,problem,問題
75,defined,定義されました
74,true,真
74,get,取得する
74,culture,文化
73,specific,明確な
73,life,生活
73,few,少数
73,consider,考えます
73,argument,引数
72,systems,システム
72,support,サポート
72,necessary,必要
72,natural,ナチュラル
72,freedom,自由
72,called,呼ばれます
71,theory,理論
71,one,1
71,idea,考え
71,highly,高度に
71,evolution,進化
71,areas,エリア
70,variety,多様
70,understand,理解する
70,put,置きます
70,making,作成
70,found,ました
70,ability,能力
69,term,期間
69,right,正しい
69,pay,支払う
69,particular,特定の
69,makes,MAKES
69,although,であるが
68,war,戦争
68,values,値
68,value,値
68,survival,生存
68,out,でる
68,message,メッセージ
68,ideas,考え
68,go,行きます
68,form,形
68,country,国
68,believe,信じます
67,tend,傾向があります
67,know,知っています
66,meaning,意味
66,genetic,遺伝子の
66,general,一般的な
66,differences,違い
66,development,開発
65,traditional,伝統的な
65,state,状態
65,societies,社会
65,network,通信網
65,century,世紀
65,against,に対して
64,understanding,理解
64,rule,ルール
64,real,リアル
64,languages,言語
64,fact,事実
64,created,作成した
64,beyond,超えて
64,around,周りに
64,able,できます
63,view,見る
63,too,余りに
63,taken,とら
63,results,結果
63,others,他人
63,knowledge,知識
63,itself,自体
63,individual,個人
63,help,助けて
63,evidence,証拠
62,well,上手
62,weapons,兵器
62,thus,こうして
62,still,やはり
62,not,ではありません
