11611,the,その,,,
7196,of,の,,,
5363,to,に,,,
4407,and,そして,,,
4117,a,A,,,
4099,in,に,,,
2536,that,それ,,,
2389,is,あります,,,
1385,it,それ,,,
1381,for,にとって,,,
1366,as,なので,,,
1284,be,されます,,,
1171,with,とともに,,,
1144,are,あります,,,
923,this,この,,,
920,on,オン,,,
919,by,沿って,,,
893,not,ではありません,,,
880,have,持ってる,,,
878,or,若しくは,,,
807,an,AN,,,
806,from,から,,,
804,we,我々,,,
764,which,これ,,,
748,but,だが,,,
745,they,彼ら,,,
702,more,もっと,,,
680,was,ました,,,
627,at,に,,,
614,their,彼らの,,,
574,has,持っています,,,
544,one,1,,,
540,can,できる,,,
499,than,より,,,
481,people,人,,,
445,who,WHO,,,
429,will,意志,,,
429,may,五月,,,
420,other,他の,,,
419,our,私達の,,,
411,what,何,,,
405,his,彼の,,,
392,all,すべて,,,
374,new,新着,,,
363,were,ました,,,
360,had,持っていました,,,
359,been,き,,,
355,he,彼,,,
354,when,いつ,,,
352,you,君は,,,
347,human,人間,,,
340,some,いくつか,,,
331,many,たくさんの,,,
322,its,それの,,,
322,about,約,,,
318,would,でしょう,,,
315,if,もし,,,
314,so,そう,,,
308,social,ソーシャル,,,
306,into,に,,,
301,do,行う,,,
295,these,これら,,,
290,no,番号,,,
287,such,そのような,,,
279,between,の間に,,,
278,there,そこ,,,
255,also,さらに,,,
253,because,なぜなら,,,
252,be,されます,,,
251,those,それら,,,
247,how,どうやって,,,
246,most,最も,,,
243,to,に,,,
235,only,のみ,,,
234,time,時間,,,
230,two,二,,,
227,language,言語,,,
219,even,さえ,,,
218,them,それら,,,
215,much,はるかに,,,
211,use,使用する,,,
210,children,子供達,,,
205,could,たぶん......だろう,,,
201,over,オーバー,,,
198,us,我ら,,,
197,should,SHOULD,,,
192,way,仕方,,,
191,child,子,,,
190,political,政治的,,,
187,it,それ,,,
187,however,しかしながら,,,
186,same,同じ,,,
184,i,私,,,
182,make,メイク,,,
182,like,お気に入り,,,
180,information,情報,,,
178,any,どれか,,,
177,life,生活,,,
175,through,使って,,,
174,different,異なります,,,
172,a,A,,,
171,following,以下,,,
169,humans,人間,,,
168,must,必見,,,
166,being,であること,,,
164,up,アップ,,,
164,first,最初,,,
163,very,非常に,,,
163,of,の,,,
157,often,しばしば,,,
155,own,自分の,,,
155,global,グローバル,,,
150,that,それ,,,
149,year,年,,,
147,environment,環境,,,
144,modern,近代的,,,
144,found,ました,,,
143,life,生活,,,
143,does,し,,,
142,self,自己,,,
142,both,どちらも,,,
141,your,君の,,,
140,among,間で,,,
140,according,従っ,,,
139,now,今,,,
137,out,でる,,,
137,become,なります,,,
136,years,年,,,
135,time,時間,,,
133,each,各,,,
131,might,かもしれません,,,
130,based,ベース,,,
125,with,とともに,,,
125,well,上手,,,
124,form,形,,,
123,take,取る,,,
122,language,言語,,,
121,world,世界,,,
121,did,した,,,
120,individuals,個人,,,
117,within,以内に,,,
117,just,ただ,,,
115,way,仕方,,,
114,order,注文,,,
113,less,もっと少なく,,,
113,communication,コミュニケーション,,,
112,good,良い,,,
110,well,上手,,,
110,society,社会,,,
108,her,彼女の,,,
108,example,例,,,
108,another,別の,,,
106,used,中古,,,
